B,D_ms,link_rate_mbps,seed,T_emp_rtt,T_analytic_rtt,residual_rtt,reason
3.0,1.0,100.0,0,28.0,12.0,16.0,starvation_detected
3.0,1.0,100.0,1,28.0,12.0,16.0,starvation_detected
3.0,1.0,100.0,2,28.0,12.0,16.0,starvation_detected
3.0,1.0,100.0,3,28.0,12.0,16.0,starvation_detected
3.0,1.0,100.0,4,28.0,12.0,16.0,starvation_detected
3.0,5.0,100.0,0,28.0,12.0,16.0,starvation_detected
3.0,5.0,100.0,1,28.0,12.0,16.0,starvation_detected
3.0,5.0,100.0,2,28.0,12.0,16.0,starvation_detected
3.0,5.0,100.0,3,28.0,12.0,16.0,starvation_detected
3.0,5.0,100.0,4,28.0,12.0,16.0,starvation_detected
4.0,1.0,100.0,0,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,1,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,2,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,3,26.0,22.0,4.0,starvation_detected
4.0,1.0,100.0,4,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,0,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,1,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,2,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,3,26.0,22.0,4.0,starvation_detected
4.0,5.0,100.0,4,26.0,22.0,4.0,starvation_detected
5.0,1.0,100.0,0,25.0,32.0,-7.0,starvation_detected
5.0,1.0,100.0,1,25.0,32.0,-7.0,starvation_detected
5.0,1.0,100.0,2,25.0,32.0,-7.0,starvation_detected
5.0,1.0,100.0,3,25.0,32.0,-7.0,starvation_detected
5.0,1.0,100.0,4,25.0,32.0,-7.0,starvation_detected
5.0,5.0,100.0,0,25.0,32.0,-7.0,starvation_detected
5.0,5.0,100.0,1,25.0,32.0,-7.0,starvation_detected
5.0,5.0,100.0,2,25.0,32.0,-7.0,starvation_detected
5.0,5.0,100.0,3,25.0,32.0,-7.0,starvation_detected
5.0,5.0,100.0,4,25.0,32.0,-7.0,starvation_detected
6.0,1.0,100.0,0,28.0,42.0,-14.0,starvation_detected
6.0,1.0,100.0,1,28.0,42.0,-14.0,starvation_detected
6.0,1.0,100.0,2,28.0,42.0,-14.0,starvation_detected
6.0,1.0,100.0,3,28.0,42.0,-14.0,starvation_detected
6.0,1.0,100.0,4,28.0,42.0,-14.0,starvation_detected
6.0,5.0,100.0,0,28.0,42.0,-14.0,starvation_detected
6.0,5.0,100.0,1,28.0,42.0,-14.0,starvation_detected
6.0,5.0,100.0,2,28.0,42.0,-14.0,starvation_detected
6.0,5.0,100.0,3,28.0,42.0,-14.0,starvation_detected
6.0,5.0,100.0,4,28.0,42.0,-14.0,starvation_detected
